product_id,category_id,brand_id,width,height,depth,weight,monthly_demand,price,unit_margin
118717,212,48,99.7044590186,75.1491333052,123.9177429186,1.2068214863,12,1.1312,0.6064
118703,212,48,113.4004679116,76.6744898554,122.3094264982,1.0433321352,67.3333333333,0.811389,0.392465
118700,212,48,85.8629725006,79.7287188531,105.8335290903,0.9591183742,42,0.785714,0.366154
118701,212,48,106.214700521,105.5199078085,110.3286867625,0.7780256692,23,0.839412,0.426957
118716,212,48,85.2445612531,115.6435823075,97.9303354694,0.8605590529,4.6666666667,1.13,0.64
118704,212,48,83.2337317146,109.1656313808,78.5553753741,0.9723928633,11.6666666667,0.785294,0.392353
118696,212,48,116.0221022608,90.8532032413,104.0576066252,1.1574457683,12,0.727083,0.357083
118692,212,48,105.6579715096,98.1012892427,84.0632431667,1.2131887085,10.3333333333,0.738824,0.352174
118711,212,48,103.2547297919,85.0929548963,105.9258594342,0.8704677506,6.3333333333,0.796667,0.401111
118699,212,48,78.355112938,102.5376907934,120.0029109578,1.1394082163,11.3333333333,0.735385,0.392353
118706,212,48,109.6654007113,86.8543153255,96.11509848,1.0060772548,12.6666666667,0.764091,0.374091
118708,212,48,102.1299243627,94.8453243301,84.9794353177,0.8655395075,15.3333333333,0.797543,0.376158
118695,212,48,75.0592806446,122.4131692674,81.7086283506,1.0324973864,8.3333333333,0.715,0.336667
118705,212,48,105.5199078085,110.3286867625,77.8025669242,1.0710020892,13,0.802059,0.375882
118697,212,48,80.6478585088,100.9888970947,84.6029917395,0.7722332417,18.6666666667,0.73,0.378182
