product_id,category_id,brand_id,width,height,depth,weight,monthly_demand,price,unit_margin
103983,212,35,101.8984354706,87.0467750589,84.7268623967,1.2118041644,1.6666666667,9.235294,8.974265
113790,212,35,88.7958955049,118.1959180595,104.0378582467,0.9672084059,2.3333333333,16.524194,7.798387
28643,212,35,80.3414268851,113.2683075054,103.5742897492,1.0517256947,14.3333333333,14.939252,8.326324
24214,212,35,121.9562305638,98.9439590597,89.9113464068,0.9795953366,4.3333333333,15.390004,6.425221
22064,212,35,117.0447333241,80.8607055647,120.8853018356,0.7951699271,7.6666666667,15.577782,9.948953
32857,212,35,123.9525060036,112.4101267939,76.6519186396,0.8264382231,2.6666666667,16.25,10.642857
21823,212,35,117.9933338566,75.588496146,108.8633669614,0.8764965202,11.6666666667,15.276304,8.174063
101119,212,35,76.9939594069,116.5847374785,123.0570605528,0.7672573959,5.6666666667,15.766667,11.722222
32858,212,35,103.8842624637,83.3847328417,92.3409099598,0.929073539,10,15.392857,8.829384
32855,212,35,102.4078914208,90.7717594402,75.5730122939,0.9724109598,5.3333333333,14.696272,7.5625
101120,212,35,116.0953434146,84.7268623967,121.1804164409,0.8633529297,6.3333333333,14.44898,10.785
103984,212,35,99.5905004712,76.3190760485,76.682399851,1.0710020892,3.6666666667,9.235294,9.235294
30713,212,35,78.2055211078,97.863610606699993,97.863610606699993,0.9786361061,1,33.987045,14.547045
22063,212,35,97.2764944697,77.6989341949,121.9455938502,1.2007507043,4.3333333333,15.217785,8.413337
31268,212,128,95.0842869084,107.1034105504,113.2383031267,0.9118766729,18,1.15,0.680769
31270,212,128,92.9355602731,124.7847349215,121.0955985385,1.1649690512,33.6666666667,1.10186,0.638837
19493,212,128,89.0187964771,87.0051515033,79.7667450239,0.9493675516,50,1.088966,0.594286
19497,212,128,84.8581294054,124.6683837811,97.5422567073,0.9411118495,30,1.064615,0.554615
31266,212,128,76.4849584757,117.0703444248,118.7645736073,1.0213481819,54.3333333333,1.087,0.618
19494,212,128,105.4230768829,104.0746163033,87.4550677319,0.7668239985,18.6666666667,1.115455,0.627273
31267,212,128,114.0779148059,104.6284040544,107.4699724121,1.0573734473,46,1.079583,0.610606
32798,212,348,88.9907736786,100.275229053,112.2779813092,1.1560711281,25.3333333333,1.101786,0.563889
32821,212,348,109.4442205402,92.5618744725,123.7117573565,0.9880791311,6,4.38,2.726667
